類型,行號,緯度,經度,位置描述,距離本島
離島,127. 第 5955 行: 座標 (26.205717, 119.969141) 在台灣範圍外,26.205717,119.969141,馬祖地區,280.3公里
離島,128. 第 5956 行: 座標 (26.215342, 119.974369) 在台灣範圍外,26.215342,119.974369,馬祖地區,281.2公里
離島,129. 第 5957 行: 座標 (26.223545, 119.997023) 在台灣範圍外,26.223545,119.997023,馬祖地區,281.4公里
離島,130. 第 5958 行: 座標 (26.223712, 120.007001) 在台灣範圍外,26.223712,120.007001,馬祖地區,281.1公里
離島,131. 第 5959 行: 座標 (26.224023, 119.980487) 在台灣範圍外,26.224023,119.980487,馬祖地區,281.9公里
離島,132. 第 5960 行: 座標 (26.225534, 119.997413) 在台灣範圍外,26.225534,119.997413,馬祖地區,281.6公里
離島,133. 第 5961 行: 座標 (26.227096, 119.996627) 在台灣範圍外,26.227096,119.996627,馬祖地區,281.8公里
離島,134. 第 5962 行: 座標 (26.234607, 119.993381) 在台灣範圍外,26.234607,119.993381,馬祖地區,282.7公里
離島,135. 第 5963 行: 座標 (26.366913, 120.487955) 在台灣範圍外,26.366913,120.487955,馬祖地區,287.2公里
離島,136. 第 5964 行: 座標 (26.367919, 120.488451) 在台灣範圍外,26.367919,120.488451,馬祖地區,287.3公里
離島,137. 第 5965 行: 座標 (26.368364, 120.487894) 在台灣範圍外,26.368364,120.487894,馬祖地區,287.3公里
海上,2. 第 4 行: 座標 (24.98, 119.47) 在台灣範圍外,24.980000,119.470000,海上遠離陸地,217.3公里
海上,3. 第 5 行: 座標 (24.988739, 119.453178) 在台灣範圍外,24.988739,119.453178,海上遠離陸地,218.8公里
海上,4. 第 10 行: 座標 (25.956666, 119.977206) 在台灣範圍外,25.956666,119.977206,海上遠離陸地,178.3公里
海上,5. 第 11 行: 座標 (25.961848, 119.985351) 在台灣範圍外,25.961848,119.985351,海上遠離陸地,177.8公里
海上,6. 第 12 行: 座標 (25.97828, 119.932125) 在台灣範圍外,25.978280,119.932125,海上遠離陸地,183.4公里
海上,7. 第 13 行: 座標 (25.972438, 119.944922) 在台灣範圍外,25.972438,119.944922,海上遠離陸地,182.0公里
海上,8. 第 14 行: 座標 (25.969995, 119.933712) 在台灣範圍外,25.969995,119.933712,海上遠離陸地,182.9公里
