縣市及鄉鎮市區,總數,室內數,戶外數,室內比例,戶外比例
臺中市沙鹿區,36,26,10,72.2,27.8
臺中市清水區,18,18,0,100.0,0.0
臺中市潭子區,15,14,1,93.3,6.7
臺中市烏日區,13,10,3,76.9,23.1
臺中市石岡區,10,9,1,90.0,10.0
臺中市神岡區,9,9,0,100.0,0.0
臺中市西區,8,7,1,87.5,12.5
臺中市西屯區,23,9,14,39.1,60.9
臺中市豐原區,40,40,0,100.0,0.0
臺中市霧峰區,15,14,1,93.3,6.7
臺中市龍井區,17,6,11,35.3,64.7
臺北市中山區,23,21,2,91.3,8.7
臺北市中正區,20,19,1,95.0,5.0
臺北市信義區,19,18,1,94.7,5.3
臺北市內湖區,26,25,1,96.2,3.8
臺北市北投區,27,26,1,96.3,3.7
臺北市南港區,15,14,1,93.3,6.7
臺北市士林區,33,31,2,93.9,6.1
臺北市大同區,18,17,1,94.4,5.6
臺北市大安區,21,20,1,95.2,4.8
臺北市文山區,32,31,1,96.9,3.1
臺北市松山區,18,16,2,88.9,11.1
臺北市萬華區,19,17,2,89.5,10.5
臺南市七股區,28,24,4,85.7,14.3
臺南市下營區,12,12,0,100.0,0.0
臺南市中西區,20,20,0,100.0,0.0
臺南市仁德區,5,3,2,60.0,40.0
臺南市佳里區,17,17,0,100.0,0.0
臺南市六甲區,16,15,1,93.8,6.2
臺南市北區,21,19,2,90.5,9.5
臺南市北門區,5,5,0,100.0,0.0
臺南市南化區,9,9,0,100.0,0.0
臺南市南區,17,16,1,94.1,5.9
臺南市善化區,17,17,0,100.0,0.0
臺南市大內區,7,7,0,100.0,0.0
臺南市學甲區,8,8,0,100.0,0.0
臺南市安南區,41,41,0,100.0,0.0
臺南市安定區,17,11,6,64.7,35.3
臺南市安平區,21,17,4,81.0,19.0
臺南市官田區,12,11,1,91.7,8.3
臺南市將軍區,19,19,0,100.0,0.0
臺南市山上區,9,9,0,100.0,0.0
臺南市左鎮區,6,6,0,100.0,0.0
臺南市後壁區,24,24,0,100.0,0.0
臺南市新化區,15,13,2,86.7,13.3
臺南市新市區,7,6,1,85.7,14.3
臺南市新營區,15,15,0,100.0,0.0
臺南市東區,21,18,3,85.7,14.3
臺南市東山區,12,1,11,8.3,91.7
臺南市柳營區,13,5,8,38.5,61.5
臺南市楠西區,5,5,0,100.0,0.0
臺南市歸仁區,10,10,0,100.0,0.0
臺南市永康區,29,26,3,89.7,10.3
臺南市玉井區,8,8,0,100.0,0.0
臺南市白河區,15,15,0,100.0,0.0
臺南市西港區,12,12,0,100.0,0.0
臺南市關廟區,9,9,0,100.0,0.0
臺南市鹽水區,10,10,0,100.0,0.0
臺南市麻豆區,9,8,1,88.9,11.1
臺南市龍崎區,8,8,0,100.0,0.0
臺東縣卑南鄉,25,25,0,100.0,0.0
臺東縣大武鄉,9,9,0,100.0,0.0
臺東縣太麻里鄉,11,11,0,100.0,0.0
臺東縣延平鄉,5,5,0,100.0,0.0
臺東縣成功鎮,16,16,0,100.0,0.0
臺東縣東河鄉,10,10,0,100.0,0.0
臺東縣池上鄉,16,16,0,100.0,0.0
臺東縣海端鄉,6,6,0,100.0,0.0
臺東縣綠島鄉,8,8,0,100.0,0.0
臺東縣臺東市,16,15,1,93.8,6.2
臺東縣蘭嶼鄉,6,6,0,100.0,0.0
臺東縣達仁鄉,15,15,0,100.0,0.0
臺東縣金峰鄉,7,7,0,100.0,0.0
臺東縣長濱鄉,22,22,0,100.0,0.0
臺東縣關山鎮,12,12,0,100.0,0.0
臺東縣鹿野鄉,17,17,0,100.0,0.0
花蓮縣光復鄉,14,14,0,100.0,0.0
花蓮縣卓溪鄉,12,12,0,100.0,0.0
花蓮縣吉安鄉,22,22,0,100.0,0.0
花蓮縣壽豐鄉,20,20,0,100.0,0.0
花蓮縣富里鄉,12,12,0,100.0,0.0
花蓮縣新城鄉,19,19,0,100.0,0.0
花蓮縣玉里鎮,12,12,0,100.0,0.0
花蓮縣瑞穗鄉,16,16,0,100.0,0.0
花蓮縣秀林鄉,10,10,0,100.0,0.0
